#;name;country;state;massif;length_decimals;length;depth_decimals;depth;entrances;terrain_type;source;updated_year;updated_month
295;Sistemul Ciur - Ponor - Toplita de Rosia;Romania;Bihor;Mtii Padurea Craiului;20150,00;20150;228,00;228;0;Limestone;Victor Ursu e-mal;2021;10
192;Ogof Daren Cilau System;United Kingdom;Wales;Powys, Monmouthshire;28000,00;28000;232,00;232;0;Limestone;www.ukcaves.co.uk/all-longest;2016;1
541;Grotte de Malaval;France;Occitanie;-;12000,00;12000;237,00;237;0;Gypsum;Liste des cavites naturelles les plus longues de France;2022;6
68;Bol'shaja Oreshnaja (Conglomerate);Russia;Russia;Kransnojarsk;58000,00;58000;240,00;240;0;Conglomerate;International Caver 2000 P78;2017;6
431;Punta Pena System (Cueva de la Lastrilla, Cubilla, Jabali);Spain;Cantabria;Castro Urdiales;14317,00;14317;243,00;243;0;Limestone;Pedro Antonio Diaz Hoz e-mail;2022;1
553;Bilemot Kul;South Korea;Cheju Island;-;11749,00;11749;245,00;245;0;Limestone;On Lava Caves in Japan and Vivinity;2016;8
254;Complesso Fiume-Vento;Italy;Marche;Frasassi;23000,00;23000;245,00;245;0;Limestone;http://www.Class.del.g.piulunghe/profon.d'Italia;2009;7
563;Basanberroko Ziloa;Spain;Nafarroa;Koroa;11565,00;11565;247,00;247;0;Limestone;Pepe Membrado e-mail;2022;7
342;Peak/Speedwell System (part mine);United Kingdom;England;Derbyshire;17750,00;17750;248,00;248;0;Limestone;www.ukcaves.co.uk/all-longest;2016;7
139;Chestnut Ridge Cave System;USA;Virginia;Bath;35507,00;35507;248,00;248;0;Limestone;BCCS;2019;10
487;Aven de la Combe Rajeau;France;Auvergne-Rhone-Alpes;-;13000,00;13000;250,00;250;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
589;Aven de Rogues;France;Occitanie;-;11091,00;11091;253,00;253;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
35;Three Counties System;United Kingdom;England;Northern Dales;86619,00;86619;253,00;253;0;Limestone;Wookey e-mail;2021;9
5;Jewel Cave (N.M.);USA;South Dakota;Custer;354860,35;354860;253,62;253;0;Limestone;Adam Weaver email;2024;5
610;Lurgrotte;Austria;Grazer Bergland;Steiermark;10833,00;10833;259,00;259;0;Limestone;Lukas Plan email;2024;6
107;Tham Khoun Dori - Houay Sai System Cave;Laos;Khammouane;Ban Na;42077,00;42077;260,00;260;0;Limestone;Charles Ghommidh e-mail;2009;7
521;Blue Water Cave;Philippines;Baggao;Cagayan;12276,00;12276;265,00;265;0;Limestone;Henry Bennett e-mail;2022;8
643;Lachenstock-Hîhlensystem;Switzerland;Innerthal;SZ;10413,00;10413;267,00;267;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
399;Sistema de las Bernias;Spain;Burgos;Lunada;15469,00;15469;276,00;276;0;Limestone;Jose Luis Membrado email;2024;6
407;Kacna Cave (System);Slovenia;Divaski Karst;-;15181,00;15181;280,00;280;0;Limestone;Longest & Deepest Caves of Slovenia;2016;9
417;Cueva del Lobo;Spain;Cantabria;-;14780,00;14780;284,00;284;0;Limestone;Jose Luis Membrado e-mail;2016;1
286;Räseau Pleurachat-Doria;France;Auvergne-Rhone-Alpes;Prealpes;20924,00;20924;287,00;287;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
108;Kipuka Kanohina Cave (Kula Kai Caverns);USA;Hawaii;Hawaii;42010,00;42010;288,00;288;0;Lava;Kanohina Data Manager - Tomislav Gracanin e-mail;2019;6
90;Trou du Garde / Creux de la Cavale;France;Savoie;Les Deserts;48476,00;48476;301,00;301;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
492;Sistema Cueva'l Trumbiu - Pozu Haciosu;Spain;Asturias;Picos de Europa;12903,00;12903;302,00;302;0;Limestone;Jose Luis Membrado e-mail;2023;4
300;Reseau Fanges - Paradet;France;Pyrenees-Orientales;Fenouilledes;19763,00;19763;302,00;302;0;Limestone;Bernard Ournie e-mail;2021;5
210;Almberg-Hîhlensystem;Austria;Totes Gebirge;Steiermark;26053,00;26053;302,00;302;0;Limestone;Lukas Plan email;2024;6
375;Silvertip Cave System;USA;Montana;Flathead;16350,94;16350;304,00;304;0;Limestone;Jason Ballensky e-mail;2022;5
199;Green Cathedral/Turtle Cave System;Malaysia;Sarawak;Gunung Buda;26971,00;26971;304,00;304;0;Limestone;NSS News V62N8P225;;
635;Grotte du Garrel;France;Occitanie;-;10500,00;10500;306,00;306;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
63;Ogof Ffynnon Ddu;United Kingdom;Wales;Powys;60644,00;60644;309,50;309;0;Limestone;-;2021;10
69;Kap-Kutan/Promezhutochnaja;Turkmenistan;Turkistan;Gissarsko-Ala.;57000,00;57000;310,00;310;0;Limestone;RSIC;2019;9
274;Räseau de la Falconette;France;Auvergne-Rhone-Alpes;Bas-Bugey;22000,00;22000;312,00;312;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
109;Pestera din Poienita-Pestera dein Dealul Humpleu;Romania;Alba;Mtii Bihor;42000,00;42000;313,00;313;0;Limestone;Victor Ursu info;2020;3
601;Da Dong;China;Hubei;Wufeng;10932,00;10932;314,00;314;0;Limestone;www.hongmeigui.net/deepandlong.php;2017;4
117;Sistemul Humpleu-Poienita;Romania;Cluj;Mtii Bihor;39000,00;39000;314,00;314;0;Limestone;Romania-Natural;2022;3
67;Gouffre de Padirac;France;Lot;Causse de Gramat;59000,00;59000;315,00;315;0;Limestone;Jean-Yves Bigot;2019;4
60;Carlsbad Cavern (C.C.N.P.);USA;New Mexico;Eddy;63569,09;63569;315,47;315;0;Limestone;Vidio on liine;2019;12
435;Synrang Pamiang;India;Meghalaya;-;14157,00;14157;317,00;317;0;Limestone;BCRA I12P16;;
305;Ellisons Cave;USA;Georgia;Walker;19516,51;19516;324,00;324;0;Limestone;Georgia Underground V24N1;1987;3
280;Jaskyna Mrtvych netopierov ??;Slovakia;Nizke Tatry;Dumbier;21042,00;21042;324,00;324;0;Limestone;www.drienka.host.sk/najdlhsie.php;1988;10
58;Grotte de Saint-Marcel;France;Ardeche;Bas-Vivarais;64500,00;64500;325,00;325;0;Limestone;Liste des cavites naturelles les plus longues de France;2019;4
556;Räseau Christian - Gathier;France;Auvergne-Rhone-Alpes;-;11700,00;11700;327,00;327;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
458;Cova Cuberes (Conglomerate);Spain;Catalonia;Pallars Jussa;13513,00;13513;328,00;328;0;Conglomerate;Jordi Lloret-Prieto e-mail;2016;3
571;Hîhle beim Spannagelhaus;Austria;Zillertaler Alpen;Tirol;11500,00;11500;329,00;329;0;Limestone;Lukas Plan email;2024;6
288;Cloud Cave - Cobra Cave - Bridge System;Malaysia;Sarawak;Mulu;20632,00;20632;330,00;330;0;Limestone;Mulu Caves Project;2021;10
283;De Gamile Chine Xao (Chjine Xjo, Xine Xao);Mexico;Oaxaca;-;21000,00;21000;330,00;330;0;Limestone;Chris Andrews;2019;3
620;Rede de Cerveriz;Spain;Asturias;Somiedo;10750,00;10750;336,00;336;0;Limestone;Jose Luis Membrado e-mail;2021;5
312;Feihu Dong;China;Hunan;Longshan;19000,00;19000;340,00;340;0;Limestone;http://www.grottes-et-karsts-de-chine.org/npds/gkc_gro.php?op=deve;2015;2
348;Aven du Sotch de la Tride;France;Aveyron;Grands Causses;17400,00;17400;342,00;342;0;Limestone;Liste Drouin;2017;6
51;San Wang Dong;China;Chongqing;Wulong;67825,00;67825;343,00;343;0;Limestone;Descent 231;2016;5
277;Sistema del Rio Encantado;Puerto Rico;-;Florida,Ciales,Manati;21770,00;21770;344,00;344;0;Limestone;Mark Minton e-mail;;
78;Jianghou Dixachanglang;China;Guangxi;Fengshan;53070,00;53070;344,00;344;0;Limestone;;2016;8
77;Teng Long Dong;China;Hubei;Lichuan;53210,00;53210;344,00;344;0;Limestone;Zhi Quin FB;2022;6
149;Sistema Azpilicueta-Coteron-Renada (Sistema de la Vega);Spain;Cantabria;Ruesga;34783,00;34783;346,00;346;0;Limestone;Jose Luis Membrado e-mail;2023;4
386;Pahoa Cave(s) (segmentation??);USA;Hawaii;Hawaii;16000,10;16000;350,50;350;0;Lava;Dr. Stephen Smith reports that this cave could be as short as about 2 miles long now, due to plugging and segmentation by the 2018 Kilauea 61g lava flows.;2016;5
226;Torca del Regato Calero;Spain;Cantabria;-;25000,00;25000;350,00;350;0;Limestone;Jose Luis Membrado e-mail;2020;8
152;Atea Kananda;Papua New Guinea;Southern Highland;Muller Range;34500,00;34500;350,00;350;0;Limestone;The British Caver V94-95;2017;6
